SiteName,HotspotID,CacheFile,TotalChecklists,TotalSpecies
Lake Moomaw,L718560,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/312_lake_moomaw_L718560.rds,259,169
Lake Nelson,L718561,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/313_lake_nelson_L718561.rds,701,172
Lake Prince,L718563,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/314_lake_prince_L718563.rds,32,66
Lake Shenandoah,L467717,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/315_lake_shenandoah_L467717.rds,6549,225
Land's End Wildlife Management Area,L718564,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/316_land_s_end_wildlife_management_area_L718564.rds,84,139
"Laurel Hill, Birthplace of Major General J.E.B. Stuart, CSA",L718587,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/317_laurel_hill_birthplace_of_major_general_j_e_b_stuart_csa_L718587.rds,10,33
"Lawrence Lewis, Jr. Park",L718566,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/318_lawrence_lewis_jr_park_L718566.rds,78,115
Leakes Mill Park,L5851856,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/319_leakes_mill_park_L5851856.rds,59,95
Leesylvania State Park,L718567,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/320_leesylvania_state_park_L718567.rds,3910,228
Legion Park Trail,L718568,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/321_legion_park_trail_L718568.rds,40,53
Lenn Park,L5933424,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/322_lenn_park_L5933424.rds,287,148
Leonard's Pond,L718569,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/323_leonard_s_pond_L718569.rds,3461,169
Leopold's Preserve,L4318372,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/324_leopold_s_preserve_L4318372.rds,2311,206
Lewis Ginter Botanical Garden,L304943,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/325_lewis_ginter_botanical_garden_L304943.rds,487,131
"Limberlost Trail, Shenandoah National Park",L159393,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/326_limberlost_trail_shenandoah_national_park_L159393.rds,776,134
Lime Kiln Road (FDR 194)/Douthat Road (Rt. 629),L718570,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/327_lime_kiln_road_fdr_194_douthat_road_rt_629_L718570.rds,8,50
Lincolnshire Park/Lake,L718571,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/328_lincolnshire_park_lake_L718571.rds,233,125
Little Island Park,L718573,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/329_little_island_park_L718573.rds,2481,236
Little Stony National Recreation Trail,L718574,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/330_little_stony_national_recreation_trail_L718574.rds,13,52
Little Wolf Creek Primitive Management Area,L718575,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/331_little_wolf_creek_primitive_management_area_L718575.rds,14,69
Locher Tract,L629629,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/332_locher_tract_L629629.rds,199,145
Lone Star Lakes,L718576,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/333_lone_star_lakes_L718576.rds,329,174
Long Branch Nature Center at Glencarlyn Park,L718577,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/334_long_branch_nature_center_at_glencarlyn_park_L718577.rds,1509,164
Long Island Park and Boat Landing,L718578,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/335_long_island_park_and_boat_landing_L718578.rds,75,123
Long Run Road - Forest Rd. 72,L718579,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/336_long_run_road_forest_rd_72_L718579.rds,36,85
Loriella Park,L718580,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/337_loriella_park_L718580.rds,59,95
Louisa Town Park,L718776,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/338_louisa_town_park_L718776.rds,49,88
Love Ridge Mountain Lodging,L718706,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/339_love_ridge_mountain_lodging_L718706.rds,17,52
Lower Rock Castle Creek Trail,L718581,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/340_lower_rock_castle_creek_trail_L718581.rds,127,93
Lubber Run Park,L159343,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/341_lubber_run_park_L159343.rds,496,136
Lunenburg Lake,L718582,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/342_lunenburg_lake_L718582.rds,87,104
Luray-Hawksbill Greenway,L718583,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/343_luray_hawksbill_greenway_L718583.rds,271,111
"Mabry Mill, Blue Ridge Parkway",L718584,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/344_mabry_mill_blue_ridge_parkway_L718584.rds,198,100
MacCallum More Museum and Gardens,L718585,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/345_maccallum_more_museum_and_gardens_L718585.rds,17,49
Machicomoco State Park,L13926803,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/346_machicomoco_state_park_L13926803.rds,1750,208
"Madison Run Fire Road, Shenandoah National Park",L718586,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/347_madison_run_fire_road_shenandoah_national_park_L718586.rds,646,110
Magothy Bay Natural Area Preserve,L1007732,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/348_magothy_bay_natural_area_preserve_L1007732.rds,1170,251
"Malvern Hill Battlefield, Richmond National Battlefield Park",L443270,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/349_malvern_hill_battlefield_richmond_national_battlefield_park_L443270.rds,783,181
Manassas National Battlefield Park,L718588,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/350_manassas_national_battlefield_park_L718588.rds,987,185
Mason Neck National Wildlife Refuge,L159345,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/351_mason_neck_national_wildlife_refuge_L159345.rds,770,213
Mason Neck State Park,L718591,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/352_mason_neck_state_park_L718591.rds,1500,215
Masons Mill Park,L718592,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/353_masons_mill_park_L718592.rds,55,94
Massanutten East Route,L718593,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/354_massanutten_east_route_L718593.rds,22,79
Matthews State Forest,L718595,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/355_matthews_state_forest_L718595.rds,34,76
Meadow Farm Museum and Crump Park,L718596,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/356_meadow_farm_museum_and_crump_park_L718596.rds,278,125
Meadowlark Botanical Gardens,L224267,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/357_meadowlark_botanical_gardens_L224267.rds,683,145
Meadowview Biological Research Station,L718598,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/358_meadowview_biological_research_station_L718598.rds,52,76
Melrose Landing,L718599,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/359_melrose_landing_L718599.rds,38,101
Merrimac Farm Wildlife Management Area,L675465,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/360_merrimac_farm_wildlife_management_area_L675465.rds,796,161
Mill Creek Lake Park,L718601,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/361_mill_creek_lake_park_L718601.rds,1083,202
Mill Mountain Park (including Star Trail),L718602,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/362_mill_mountain_park_including_star_trail_L718602.rds,997,150
Milton Landing,L718603,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/363_milton_landing_L718603.rds,66,96
Mockhorn Island Wildlife Management Area,L516912,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/364_mockhorn_island_wildlife_management_area_L516912.rds,155,176
Monster Rock Trail,L618340,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/365_monster_rock_trail_L618340.rds,20,73
Montebello Area,L718606,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/366_montebello_area_L718606.rds,19,76
Montgomery Hall Park,L718607,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/367_montgomery_hall_park_L718607.rds,176,126
Monticello Park,L159356,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/368_monticello_park_L159356.rds,9679,161
Motts Run Reservoir Recreation Area,L295824,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/369_motts_run_reservoir_recreation_area_L295824.rds,114,127
Mount Pleasant Scenic Area,L718610,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/370_mount_pleasant_scenic_area_L718610.rds,96,103
Mountain Lake Lodge,L159358,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/371_mountain_lake_lodge_L159358.rds,838,159
Mountain Run Lake Park,L718614,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/372_mountain_run_lake_park_L718614.rds,765,167
Mountain View Park (formerly Grottoes Town Park),L718492,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/373_mountain_view_park_formerly_grottoes_town_park_L718492.rds,221,130
Mouth of Wilson Public Boat Landing,L718612,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/374_mouth_of_wilson_public_boat_landing_L718612.rds,57,92
Moyer Sports Complex/Roanoke River Greenway,L718613,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/375_moyer_sports_complex_roanoke_river_greenway_L718613.rds,66,80
Mt. Rogers National Recreation Area,L5234777,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/376_mt_rogers_national_recreation_area_L5234777.rds,23,64
Munden Point Park,L796955,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/377_munden_point_park_L796955.rds,129,128
Mutton Hunk Fen Natural Area Preserve,L1611562,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/378_mutton_hunk_fen_natural_area_preserve_L1611562.rds,604,225
Natural Bridge State Park,L718617,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/379_natural_bridge_state_park_L718617.rds,475,141
Natural Chimneys Regional Park,L718618,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/380_natural_chimneys_regional_park_L718618.rds,279,127
Natural Tunnel State Park,L718619,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/381_natural_tunnel_state_park_L718619.rds,249,131
New Market Battlefield State Historical Park,L718623,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/382_new_market_battlefield_state_historical_park_L718623.rds,281,112
New Point Comfort Natural Area Preserve,L718624,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/383_new_point_comfort_natural_area_preserve_L718624.rds,435,198
New Quarter Park,L286165,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/384_new_quarter_park_L286165.rds,1663,204
New River Paddle Route - Radford,L718698,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/385_new_river_paddle_route_radford_L718698.rds,1294,177
New River Trail State Park - Cliffview,L718627,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/386_new_river_trail_state_park_cliffview_L718627.rds,122,101
New River Trail State Park - Galax,L718629,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/387_new_river_trail_state_park_galax_L718629.rds,98,110
New River Trail State Park - Ivanhoe Birding Trail,L18586929,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/388_new_river_trail_state_park_ivanhoe_birding_trail_L18586929.rds,89,123
New River Trail State Park - Pulaski,L718630,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/389_new_river_trail_state_park_pulaski_L718630.rds,24,78
New River Trail State Park: Foster Falls,L718628,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/390_new_river_trail_state_park_foster_falls_L718628.rds,620,169
Newport News Park,L718631,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/391_newport_news_park_L718631.rds,2574,210
Ni River Recreation Area,L718632,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/392_ni_river_recreation_area_L718632.rds,92,91
Norfolk Botanical Garden,L251092,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/393_norfolk_botanical_garden_L251092.rds,1408,195
North Anna Battlefield Park,L8790974,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/394_north_anna_battlefield_park_L8790974.rds,60,82
North Fork of the Pound & Phillips Creek Recreation Area,L718655,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/395_north_fork_of_the_pound_phillips_creek_recreation_area_L718655.rds,26,77
North Haven Beach,L579828,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/396_north_haven_beach_L579828.rds,145,149
Northern Virginia 4-H Educational and Conference Center,L718635,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/397_northern_virginia_4_h_educational_and_conference_center_L718635.rds,77,104
Northwest River Park,L718636,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/398_northwest_river_park_L718636.rds,246,136
Oak Grove Lake Park,L718637,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/399_oak_grove_lake_park_L718637.rds,346,160
Oak Grove Plantation Bed & Breakfast,L718638,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/400_oak_grove_plantation_bed_breakfast_L718638.rds,1,12
Occoneechee State Park,L718639,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/401_occoneechee_state_park_L718639.rds,170,131
Occoquan Bay National Wildlife Refuge,L718641,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/402_occoquan_bay_national_wildlife_refuge_L718641.rds,12817,260
Occoquan Regional Park,L718642,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/403_occoquan_regional_park_L718642.rds,761,182
Old City Cemetery,L718643,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/404_old_city_cemetery_L718643.rds,117,89
Oldtown Public Boat Landing,L718644,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/405_oldtown_public_boat_landing_L718644.rds,3,31
Osborne Park and Boat Landing,L718645,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/406_osborne_park_and_boat_landing_L718645.rds,92,115
Oxbow Lake Park,L718646,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/407_oxbow_lake_park_L718646.rds,36,78
Paddy Knob Lookout,L619164,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/408_paddy_knob_lookout_L619164.rds,322,129
Paint Bank General Store/Depot Lodge/Hollow Hill Farm,L15202367,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/409_paint_bank_general_store_depot_lodge_hollow_hill_farm_L15202367.rds,35,75
Pandapas Pond,L718650,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/410_pandapas_pond_L718650.rds,3077,197
Paradise Creek Nature Park,L1853301,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/411_paradise_creek_nature_park_L1853301.rds,1013,172
"Paul C. Edmunds, Jr. Memorial Park",L718651,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/412_paul_c_edmunds_jr_memorial_park_L718651.rds,558,171
Paul State Forest,L718652,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/413_paul_state_forest_L718652.rds,706,154
Peaks of Otter Recreation Area,L718653,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/414_peaks_of_otter_recreation_area_L718653.rds,951,178
Petticoat Junction - Jackson River Float Trip,L718534,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/415_petticoat_junction_jackson_river_float_trip_L718534.rds,12,52
Pettigrew Wildlife Management Area,L718654,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/416_pettigrew_wildlife_management_area_L718654.rds,89,122
Philpott Lake Dam & Overlook,L718656,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/417_philpott_lake_dam_overlook_L718656.rds,111,113
Piankatank River Landing,L6133997,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/418_piankatank_river_landing_L6133997.rds,61,103
Piney Grove at Southall's Plantation,L718658,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/419_piney_grove_at_southall_s_plantation_L718658.rds,4,19
Pinnacle Natural Area Preserve,L718659,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/420_pinnacle_natural_area_preserve_L718659.rds,33,107
Pleasure House Point Natural Area,L1990251,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/421_pleasure_house_point_natural_area_L1990251.rds,6466,252
Pocahontas State Park,L718660,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/422_pocahontas_state_park_L718660.rds,633,159
Pohick Bay Regional Park,L718661,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/423_pohick_bay_regional_park_L718661.rds,1682,211
Pole Green Park,L718662,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/424_pole_green_park_L718662.rds,77,100
"Pony Pasture, James River Park System",L3542266,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/425_pony_pasture_james_river_park_system_L3542266.rds,1655,186
Poor Mountain Natural Area Preserve,L718665,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/426_poor_mountain_natural_area_preserve_L718665.rds,92,118
Poor Mountain Ridgeline Drive,L2775685,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/427_poor_mountain_ridgeline_drive_L2775685.rds,113,117
Poplar Gap Park/Sunset Hollow,L718667,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/428_poplar_gap_park_sunset_hollow_L718667.rds,98,136
Potomac Heritage Trail,L718668,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/429_potomac_heritage_trail_L718668.rds,448,152
Potomac Overlook Regional Park,L159374,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/430_potomac_overlook_regional_park_L159374.rds,1058,167
Potters Creek Farm,L718669,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/431_potters_creek_farm_L718669.rds,12,58
Pound River Recreational Area,L718670,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/432_pound_river_recreational_area_L718670.rds,2,2
Powhatan State Park,L1085755,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/433_powhatan_state_park_L1085755.rds,1621,177
Powhatan Wildlife Management Area,L718671,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/434_powhatan_wildlife_management_area_L718671.rds,305,140
Prince Edward-Gallion State Forest,L2465207,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/435_prince_edward_gallion_state_forest_L2465207.rds,45,80
Prince William Forest Park,L718673,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/436_prince_william_forest_park_L718673.rds,948,162
Princess Anne Wildlife Management Area,L473385,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/437_princess_anne_wildlife_management_area_L473385.rds,1036,209
Queen Sound Landing,L718675,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/438_queen_sound_landing_L718675.rds,2150,188
R. Garland Dodd Park at Points of Rocks,L159373,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/439_r_garland_dodd_park_at_points_of_rocks_L159373.rds,1721,178
Ragged Island Wildlife Management Area,L718676,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/440_ragged_island_wildlife_management_area_L718676.rds,514,170
Ragged Mountain Natural Area,L422642,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/441_ragged_mountain_natural_area_L422642.rds,1326,181
Ramseys Draft Wilderness,L159311,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/442_ramseys_draft_wilderness_L159311.rds,142,122
Rapidan Wildlife Management Area,L718678,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/443_rapidan_wildlife_management_area_L718678.rds,33,96
"Rappahannock River Valley National Wildlife Refuge, Cat Point Creek Unit",L718505,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/444_rappahannock_river_valley_national_wildlife_refuge_cat_point_creek_unit_L718505.rds,129,142
"Rappahannock River Valley National Wildlife Refuge, Hutchinson Unit",L849175,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/445_rappahannock_river_valley_national_wildlife_refuge_hutchinson_unit_L849175.rds,654,168
"Rappahannock River Valley National Wildlife Refuge, Laurel Grove Unit",L4434845,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/446_rappahannock_river_valley_national_wildlife_refuge_laurel_grove_unit_L4434845.rds,63,116
"Rappahannock River Valley National Wildlife Refuge, Port Royal Unit",L718681,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/447_rappahannock_river_valley_national_wildlife_refuge_port_royal_unit_L718681.rds,338,161
"Rappahannock River Valley National Wildlife Refuge, Wilna Unit",L417475,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/448_rappahannock_river_valley_national_wildlife_refuge_wilna_unit_L417475.rds,775,196
Raven Cliff Karst Area,L718682,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/449_raven_cliff_karst_area_L718682.rds,13,70
"Raymond R. """"Andy"""" Guest Jr., Shenandoah River State Park",L418815,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/450_raymond_r_andy_guest_jr_shenandoah_river_state_park_L418815.rds,913,171
Red Hill - The Patrick Henry National Memorial,L159378,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/451_red_hill_the_patrick_henry_national_memorial_L159378.rds,33,113
Red Rock Wilderness Overlook Park,L718683,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/452_red_rock_wilderness_overlook_park_L718683.rds,144,131
Reddish Knob,L718684,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/453_reddish_knob_L718684.rds,333,136
Richard Bland College,L718685,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/454_richard_bland_college_L718685.rds,25,75
"Richard P. Gravely, Jr Nature Preserve",L7190043,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/455_richard_p_gravely_jr_nature_preserve_L7190043.rds,40,94
Richmond National Battlefield Park at Drewrys Bluff,L718686,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/456_richmond_national_battlefield_park_at_drewrys_bluff_L718686.rds,96,104
River's Edge Sports Complex,L718695,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/457_river_s_edge_sports_complex_L718695.rds,176,93
Riverbend Park,L718694,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/458_riverbend_park_L718694.rds,3635,212
Riverside Park,L354223,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/459_riverside_park_L354223.rds,1147,171
Riverside Public Boat Landing,L718696,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/460_riverside_public_boat_landing_L718696.rds,17,74
Roaches Run Waterfowl Sanctuary,L718699,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/461_roaches_run_waterfowl_sanctuary_L718699.rds,1514,154
Roanoke Water Pollution Control Plant,L718701,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/462_roanoke_water_pollution_control_plant_L718701.rds,2173,232
Roaring Branch,L718702,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/463_roaring_branch_L718702.rds,12,38
Robious Landing Park,L377433,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/464_robious_landing_park_L377433.rds,978,164
Rockfish Gap Hawk Watch,L391,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/465_rockfish_gap_hawk_watch_L391.rds,2013,190
Rockfish River Road,L718703,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/466_rockfish_river_road_L718703.rds,10,48
Rockwood Park,L617671,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/467_rockwood_park_L617671.rds,1000,160
Rocky Knob/Rock Castle Gorge Trail,L718704,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/468_rocky_knob_rock_castle_gorge_trail_L718704.rds,743,122
